"technology","theory","item_i","item_j","residual_r","source"
"HM","contractualist","contractualist02","contractualist03",-0.181124105204203,"modification_index"
"HM","deontology","deontology06","deontology07",0.401113701869739,"modification_index"
"HM","deontology","deontology04","deontology05",0.273661449401252,"modification_index"
"HM","deontology","deontology04","deontology07",-0.17252219744943,"modification_index"
"HM","deontology","deontology05","deontology07",-0.237335262441925,"modification_index"
"HM","hedonism","hedonism01","hedonism05",0.422367278432972,"modification_index"
"HM","hedonism","hedonism07","hedonism09",0.332190767787805,"modification_index"
"HM","hedonism","hedonism04","hedonism05",-0.29091383918159,"modification_index"
"HM","hedonism","hedonism06","hedonism09",-0.210071234594053,"modification_index"
"HM","relativist","relativist03","relativist04",0.289176843342505,"modification_index"
"HM","relativist","relativist01","relativist04",-0.241816193818842,"modification_index"
"HM","utilitarian","utilitarian01","utilitarian08",0.318025874498126,"modification_index"
"HM","utilitarian","utilitarian04","utilitarian09",0.144546581751135,"modification_index"
"HM","utilitarian","utilitarian02","utilitarian08",0.181185564088423,"modification_index"
"HM","utilitarian","utilitarian05","utilitarian06",0.138302823366268,"modification_index"
"HM","virtue","virtue06","virtue07",-0.460251928388483,"modification_index"
"HM","virtue","virtue07","virtue08",0.413619371215421,"modification_index"
"HM","virtue","virtue08","virtue09",-0.195521772772754,"modification_index"
"HM","virtue","virtue05","virtue06",0.18665001246758,"modification_index"
"HM","virtue","virtue01","virtue02",0.114958727061,"modification_index"
"SAI","deontology","deontology06","deontology07",0.45449044715678,"modification_index"
"SAI","deontology","deontology01","deontology03",0.330422259287067,"modification_index"
"SAI","deontology","deontology02","deontology08",0.249557168327343,"modification_index"
"SAI","deontology","deontology04","deontology06",-0.167431413547638,"modification_index"
"SAI","hedonism","hedonism07","hedonism09",0.305547899676189,"modification_index"
"SAI","hedonism","hedonism05","hedonism08",0.36615707247205,"modification_index"
"SAI","hedonism","hedonism02","hedonism04",0.305776525737742,"modification_index"
"SAI","hedonism","hedonism01","hedonism07",-0.202877778978126,"modification_index"
"SAI","hedonism","hedonism05","hedonism09",-0.192050927738114,"modification_index"
"SAI","hedonism","hedonism05","hedonism06",0.184752655843157,"modification_index"
"SAI","relativist","relativist01","relativist03",0.204381710590893,"modification_index"
"SAI","relativist","relativist01","relativist04",-0.217835835897487,"modification_index"
"SAI","relativist","relativist02","relativist03",-0.14257022179431,"modification_index"
"SAI","utilitarian","utilitarian01","utilitarian03",-0.144978418186451,"modification_index"
"SAI","utilitarian","utilitarian02","utilitarian05",0.103660488448907,"modification_index"
"SAI","virtue","virtue02","virtue09",0.242892389061489,"modification_index"
"SAI","virtue","virtue01","virtue02",0.237762463899769,"modification_index"
"SAI","virtue","virtue01","virtue09",0.227248906161015,"modification_index"
"SAI","virtue","virtue08","virtue09",-0.261791909583136,"modification_index"
"SAI","virtue","virtue07","virtue08",0.356054043844911,"modification_index"
"SAI","virtue","virtue04","virtue07",0.361819103100723,"modification_index"
"SAI","virtue","virtue01","virtue08",-0.253279820271497,"modification_index"
"SAI","virtue","virtue02","virtue08",-0.219115371389312,"modification_index"
"SAI","virtue","virtue01","virtue05",-0.179439623793701,"modification_index"
"SAI","virtue","virtue07","virtue09",-0.214314643290994,"modification_index"
"SAI","virtue","virtue05","virtue08",0.202213945884216,"modification_index"
"SAI","virtue","virtue02","virtue04",-0.187050798292809,"modification_index"
"SAI","virtue","virtue03","virtue05",0.140615842930164,"modification_index"
"SAI","virtue","virtue03","virtue08",0.168399347819621,"modification_index"
"SAI","virtue","virtue06","virtue08",0.217250644114157,"modification_index"
