"pool_id","study3_id","theory","technology","phase","criterion","statistic","threshold","flagged","action_taken"
"deontology09","deontology06","deontology","HM","structural","residual_correlation",0.401113701869739,0.1,TRUE,"flagged"
"deontology09","deontology06","deontology","SAI","structural","residual_correlation",0.45449044715678,0.1,TRUE,"flagged"
"deontology09","deontology06","deontology","SAI","structural","residual_correlation",-0.167431413547638,0.1,TRUE,"flagged"
"deontology10","deontology07","deontology","NPP","structural","residual_correlation",0.340336544512557,0.1,TRUE,"deleted"
"deontology10","deontology07","deontology","HM","structural","residual_correlation",0.401113701869739,0.1,TRUE,"deleted"
"deontology10","deontology07","deontology","HM","structural","residual_correlation",-0.17252219744943,0.1,TRUE,"deleted"
"deontology10","deontology07","deontology","HM","structural","residual_correlation",-0.237335262441925,0.1,TRUE,"deleted"
"deontology10","deontology07","deontology","SAI","structural","residual_correlation",0.45449044715678,0.1,TRUE,"deleted"
"deontology11","deontology08","deontology","NPP","structural","residual_correlation",0.253247184008295,0.1,TRUE,"flagged"
"deontology11","deontology08","deontology","SAI","structural","residual_correlation",0.249557168327343,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","NPP","structural","residual_correlation",0.200526627146971,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","NPP","structural","residual_correlation",-0.19506710865076,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","NPP","structural","residual_correlation",-0.176045743881345,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","HM","structural","residual_correlation",0.114958727061,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","SAI","structural","residual_correlation",0.237762463899769,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","SAI","structural","residual_correlation",0.227248906161015,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","SAI","structural","residual_correlation",-0.253279820271497,0.1,TRUE,"flagged"
"virtue01","virtue01","virtue","SAI","structural","residual_correlation",-0.179439623793701,0.1,TRUE,"flagged"
"virtue02","virtue02","virtue","HM","structural","residual_correlation",0.114958727061,0.1,TRUE,"flagged"
"virtue02","virtue02","virtue","SAI","structural","residual_correlation",0.242892389061489,0.1,TRUE,"flagged"
"virtue02","virtue02","virtue","SAI","structural","residual_correlation",0.237762463899769,0.1,TRUE,"flagged"
"virtue02","virtue02","virtue","SAI","structural","residual_correlation",-0.219115371389312,0.1,TRUE,"flagged"
"virtue02","virtue02","virtue","SAI","structural","residual_correlation",-0.187050798292809,0.1,TRUE,"flagged"
"virtue03","virtue03","virtue","SAI","structural","residual_correlation",0.140615842930164,0.1,TRUE,"flagged"
"virtue03","virtue03","virtue","SAI","structural","residual_correlation",0.168399347819621,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","NPP","structural","residual_correlation",-0.198517351762532,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","NPP","structural","residual_correlation",0.232353157357968,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","NPP","structural","residual_correlation",-0.176045743881345,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","NPP","structural","residual_correlation",0.291625558011046,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","NPP","structural","residual_correlation",0.232533776605186,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","SAI","structural","residual_correlation",0.361819103100723,0.1,TRUE,"flagged"
"virtue04","virtue04","virtue","SAI","structural","residual_correlation",-0.187050798292809,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","NPP","structural","residual_correlation",0.232353157357968,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","NPP","structural","residual_correlation",-0.147357229081926,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","HM","structural","residual_correlation",0.18665001246758,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","SAI","structural","residual_correlation",-0.179439623793701,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","SAI","structural","residual_correlation",0.202213945884216,0.1,TRUE,"flagged"
"virtue05","virtue05","virtue","SAI","structural","residual_correlation",0.140615842930164,0.1,TRUE,"flagged"
"virtue06","virtue06","virtue","NPP","structural","residual_correlation",0.180683694696309,0.1,TRUE,"deleted"
"virtue06","virtue06","virtue","HM","structural","residual_correlation",-0.460251928388483,0.1,TRUE,"deleted"
"virtue06","virtue06","virtue","HM","structural","residual_correlation",0.18665001246758,0.1,TRUE,"deleted"
"virtue06","virtue06","virtue","SAI","structural","residual_correlation",0.217250644114157,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","NPP","structural","residual_correlation",0.392379889545105,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","NPP","structural","residual_correlation",-0.25026484728965,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","NPP","structural","residual_correlation",0.291625558011046,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","HM","structural","residual_correlation",-0.460251928388483,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","HM","structural","residual_correlation",0.413619371215421,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","SAI","structural","residual_correlation",0.356054043844911,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","SAI","structural","residual_correlation",0.361819103100723,0.1,TRUE,"deleted"
"virtue07","virtue07","virtue","SAI","structural","residual_correlation",-0.214314643290994,0.1,TRUE,"deleted"
"virtue08","virtue08","virtue","NPP","structural","residual_correlation",0.392379889545105,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","NPP","structural","residual_correlation",-0.19506710865076,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","NPP","structural","residual_correlation",0.232533776605186,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","HM","structural","residual_correlation",0.413619371215421,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","HM","structural","residual_correlation",-0.195521772772754,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",-0.261791909583136,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",0.356054043844911,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",-0.253279820271497,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",-0.219115371389312,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",0.202213945884216,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",0.168399347819621,0.1,TRUE,"flagged"
"virtue08","virtue08","virtue","SAI","structural","residual_correlation",0.217250644114157,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","NPP","structural","residual_correlation",0.200526627146971,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","NPP","structural","residual_correlation",-0.25026484728965,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","NPP","structural","residual_correlation",-0.198517351762532,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","NPP","structural","residual_correlation",-0.147357229081926,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","NPP","structural","residual_correlation",0.180683694696309,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","HM","structural","residual_correlation",-0.195521772772754,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","SAI","structural","residual_correlation",0.242892389061489,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","SAI","structural","residual_correlation",0.227248906161015,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","SAI","structural","residual_correlation",-0.261791909583136,0.1,TRUE,"flagged"
"virtue09","virtue09","virtue","SAI","structural","residual_correlation",-0.214314643290994,0.1,TRUE,"flagged"
