key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-800531171,ETHICAL EVALUATION BY SPANISH ATHLETES AND TRIATHLETES ON THE USE OF        VAPORFLY TECH,2021,12,,REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2255-0461,10,3,139-159,"de Andres-Sanchez, J and Burgos, FD and de Andres-Sanchez, J. and de Torres Burgos, F.",,Spanish,UNIV MALAGA,"AVE CERVANTES 2, MALAGA, 29071, SPAIN","Vaporfly technology (VFT) has disrupted road distance running. Among the ethical problems that any new technology can cause we can remark denaturing of sport, that it may be not accessible to all competitors and that its use suppose risk. From a survey of 252 athletes, we observed that the VFT had a positive ethical judgment (p <0.01). However, this judgement is not homogenous in all evaluated items (p<0.01). Likewise, gender (p<0.05), income level (p <0.01) and practicing triathlon instead of athletics (p <0.05) influence the ethical judgment. The VFT presents a perception closer to being preventive than generating injuries (p <0.05). The analysis of the Haake index on the evolution of world and Spanish records at various distance distances on the road suggests that the improvements in the records with TVF may be due to a logical evolution of the sport and not to its denaturation.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531172,Evaluation of Adolescents' Ethical Perceptions on Native Advertising in        Turkey,2021,12,,ILEF DERGISI,2148-7219,8,,179-206,"Kip, SM and Aksoy, Z and Kip, Sema Misci and Aksoy, Zeynep",,Turkish,"ANKARA UNIV, FAC COMMUNICATION","EMNIYET MAHALLESI, AU TANDOGAN KAMPUSU, YENIMAHALLE, ANKARA, 06560,        TURKEY","Various types of advertisements are emerging with the widespread use of digital media in which rapid developments are witnessed. Therefore, required regulations that need to be made cannot keep up with the speed of the sector. Native advertisements prepared in accordance with the natural content and design of the medium in which they are published constitute an example of the mentioned situation. Since the regulations regarding native advertising have not reached a sufficient level yet, ethical discussions about this type of advertising draw attention. Ethical perceptions in adulthood are formed in adolescence. The aim of this exploratory study is to analyze adolescents' ethical perceptions on native advertising in Turkey (n = 200) according to gender. Survey method is applied by utilising Reidenbach and Robin's Multidimensional Ethics Scale with a fictional native advertising. Research results reveal that adolescents do not accept non-labeled native advertising as an ethical problem. Moreover, girls are found to be more sensitive than boys in the moral equity dimension of ethical perception.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531173,Moral Judgements of Junior Sports Sponsorships: An Emerging Mediator of        Sponsor Goodwill,,,,AUSTRALASIAN MARKETING JOURNAL,1441-3582,,,,"Vance, L and Raciti, MM and Lawley, M and Vance, Lenny and Raciti, Maria M. and Lawley, Meredith",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","The sponsorship of junior sport is a contentious issue with community concerns raised about the appropriateness of some marketing targetted at children. Parents and coaches are guardians of junior sports players and often faced with a moral dilemma. On the one hand they know sponsors, who are trying to generate goodwill through providing financial or in-kind support, are crucial to the affordability of junior sports when competition for securing sponsorships is intense. On the other hand, they hold concerns that some sponsors may exploit their access to these young, vulnerable players. Guardians are caught at a crossroads with equally undesirable alternatives-financially unviable junior sports without sponsors or junior sports with potentially exploitative sponsors. Our study fills a gap in the literature where the tensions of commercial sponsorship agendas and moral concerns in sponsorship has not been well explored with our study being the first to apply the construct of moral judgements in a sponsorship model. Mixed methodology is used to examine the role that moral judgements play in determining sponsor goodwill. A qualitative study (n = 18) informed an online survey (n = 306) of Australian junior sports guardians. Structural equation modelling revealed that guardians' moral judgements mediated the relationships between sponsor fit, perceived sponsor altruism and the outcome variable, sponsorship goodwill. The findings of this study extend scholarly understanding of consumers' appraisal of sponsorships and provide useful insights to guide practitioners in sponsorship decision making, particularly in contexts that stimulate community interest or concerns.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531174,Developing Ethical Sensitivity in Future Accounting Practitioners: The        Case of a Dialogic Learning for Final-Year Undergraduates,,,,JOURNAL OF BUSINESS ETHICS,0167-4544,,,,"Berube, J and Gendron, Y and Berube, Janie and Gendron, Yves",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","For many years questions have been posed about the way ethics is taught in accounting education. The teaching of ethics is often criticized for emphasizing the legal dimension to the detriment of the moral one, among other reasons. This case study focuses on an accounting course intended to develop and stimulate students' critical thinking on accounting and its role in daily life. The investigation is based on an empirical study that took place in the 2015-2016 academic year, when the first author undertook non-participant observation and examined the final term assignment (a short essay) of the great majority of the 120 students enrolled in this course. One of the course's main features was to expose the students to critical thinking, through analyses and discussions of the roles of accounting and accountants in organizations and society-using research articles as a backdrop to stimulate analysis and discussion. Our investigation suggests that the course is able to sensitize students to professional ethics and responsibilities. Our argument, broadly supported by an empirical case analysis, is that a course centered on a dialogical approach and critical thinking on the role of accounting and accountants in society may impact the development of ethical sensitivity in future accounting practitioners.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531175,Consumer rights or unethical behaviors: Exploring the impacts of        retailer return policies,2022,1,,JOURNAL OF RETAILING AND CONSUMER SERVICES,0969-6989,64,,,"Chang, HH and Yang, TS and Chang, Hsiu-Hua and Yang, Ting-Shan",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","While a product return guarantee plays an important role in reducing perceived risk, a liberal product return policy may generate a moral crisis in consumers and induce unethical post-consumption behaviors. Situational questionnaires with two return policies, liberal and rigorous, are used to investigate how such policies influence consumers' moral reasoning and fraudulent return activities. This study finds that a return policy with different attributes results in differing consumer moral recognition, moral judgment, moral intensity, and intentions toward fraudulent return. Among these constructs, evidence of a strong correlation between moral judgment and unethical returning behaviors was found. Social consensus has a greater impact on moral recognition, moral judgment, and fraudulent return intention than on the magnitude of consequences and probability of effect. These findings from consumers' moral perspectives address gaps in the literature in which most studies take the retailer point of view in examining the effects of return policy. Understanding consumers' moral decision-making is helpful for retailers who seek to avoid consumer abuse of return policies.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531176,(In)civility and adolescents' moral decision making online: drawing on        moral theory to advance digital citizenship education,,,,EDUCATION AND INFORMATION TECHNOLOGIES,1360-2357,,,,"Harrison, T and Polizzi, G and Harrison, Tom and Polizzi, Gianfranco",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","This article draws on moral theory to advance digital citizenship education and explore how adolescents aged 13-16 make decisions when confronted with incivility, such as cyberbullying, on social media. Given the extent to which digital citizenship education may be approached in line with deontological (rules), utilitarian (consequences) and/or virtue ethical (character) theories, we argue that it is important to know which of these underpin adolescents' moral decision making online. To address this question, this article reports findings from a survey completed by 1947 13-16 year olds in England. Chi-square tests, binary logistic regressions and other exploratory analysis showed that most 13-16 year-olds use virtue ethical reasons to justify moral actions. We conclude that if online incivility is to be reduced, policymakers, educators and parents should focus more on virtue- and character-based approaches to digital citizenship education.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531177,Vignette Themes and Moral Reasoning in Business Contexts: The Case for        the Defining Issues Test,,,,JOURNAL OF BUSINESS ETHICS,0167-4544,,,,"Mudrack, PE and Mason, ES and Mudrack, Peter E. and Mason, E. Sharon",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Some researchers interested in assessing moral reasoning among business practitioners or students have developed their own vignettes or scenarios set in business contexts, based on assumptions that the situations presented in the often-used Defining Issues Test (DIT) will somehow be inappropriate for these specific types of respondents. This paper is the first to examine in depth both the actual details contained in these business-oriented scenarios and empirical findings emerging from them. Among this paper's conclusions are: (1) assumptions underpinning the presumed superiority of business-oriented vignettes have yet to be tested; (2) the DIT possesses considerable advantages unavailable in alternative measures; (3) many business-oriented scenarios have underlying Dilemma themes that seem inherently ambiguous and thus of questionable relevance for assessing moral reasoning; (4) these scenarios have no obvious equivalent in the DIT and thus cannot definitively be placed under the umbrella of the latter's demonstrated construct validity; and (5) meaningful empirical findings have not clearly emerged from investigations using business-oriented vignettes. In light of these conclusions, we recommend that investigators interested in moral reasoning advance knowledge in a coherent and unified way by using the DIT that seems entirely appropriate for use among respondents with business experience or training. Although alternative measures may have value for assessing ethical judgments, evidence of their validity as a measure of moral reasoning is lacking.","RAYYAN-INCLUSION: {""julius.fenn""=>""Included""} | RAYYAN-LABELS: excOverview",,
rayyan-800531178,To donate or not to donate? How cosmopolitanism and brand        anthropomorphism influence donation intentions for international        humanitarian causes,2022,3,15,MANAGEMENT RESEARCH REVIEW,2040-8269,45,4,524-544,"Dalman, MD and Ray, S and Dalman, M. Deniz and Ray, Subhasis",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","Purpose There are vast opportunities for nonprofit organizations (NPOs) globally to find support for international humanitarian causes. However, donors/consumers are not always willing to contribute for such causes. This study aims to investigate how potential donor perceptions are shaped to gain wider support and aims to build a model that could guide managers of NPOs in their communication strategy. Design/methodology/approach Two scenario-based experiments with the participation of graduate students from an Indian university were conducted. Findings Cosmopolitan people have the higher moral judgment of the international causes championed by NPOs. However, anthropomorphizing the NPO's message elevates the moral judgments among non-cosmopolitans. Process tests indicate that these moral judgments indirectly impact donation intentions for these causes. Research limitations/implications The paper only investigates donation intention for poverty and not humanitarian causes such as access to drinking water. Moreover, the campaign chosen takes place only in Africa (e.g. not in Asia or Latin America). Practical implications NPOs could tailor their marketing messages for international humanitarian causes by targeting cosmopolitan donors/consumers and using humanization as the branding strategy. Originality/value This research contributes to theory by showing how consumers who would otherwise not contribute to an out-group could be influenced positively by the NPOs' branding strategy.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531179,Impact of brand anthropomorphism on ethical judgment: the roles of        failure type and loneliness,2021,11,10,EUROPEAN JOURNAL OF MARKETING,0309-0566,55,11,2917-2944,"Dalman, MD and Agarwal, MK and Min, JH and Dalman, M. Deniz and Agarwal, Manoj K. and Min, Junhong",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","Purpose This paper aims to investigate whether anthropomorphized (i.e. humanized) brands are judged less negatively for competence failures than for moral lapses and how these ethical judgments impact negative word-of-mouth (NWOM) intentions of less-lonely and more-lonely consumers. Design/methodology/approach Two scenario-based experiments were conducted, involving a total of 1,375 US mechanical turk (Amazon consumer panel) participants. Findings Findings show that brand humanization has an impact on ethical judgments only for less-lonely consumers. More specifically, for less-lonely consumers, a humanizing strategy backfires when the failure is moral but helps the brand when the failure is competence-related. On the other hand, more-lonely consumers judge the situation less negatively overall, and this effect is not impacted by the anthropomorphization strategy. Process tests indicate that these judgments indirectly affect consumers' intention to spread NWOM following negative events. Research limitations/implications Future research could examine the specific process for lonely consumers (i.e. the role of empathy) and manipulate the size of the negative events (i.e. consumer perceptions of moderate vs extreme failures). Practical implications Brand managers need to consider their specific situations, as anthropomorphization can have both positive and negative effects depending on the consumers and the failure type (moral vs competence). Originality/value Extant research indicates that a humanizing strategy backfires when the market has negative information about the brand. This research introduces types of negative information, as well as consumers' loneliness as moderators and contributes to the literature in branding, business ethics and word-of-mouth.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531180,The role of ethnicity in whistleblowing: The case of Kenyan auditors,2021,11,,INTERNATIONAL JOURNAL OF AUDITING,1090-6738,25,3,733-750,"Hellmann, A and Endrawes, M and Mbuki, J and Hellmann, Andreas and Endrawes, Medhat and Mbuki, Jane",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","We examine whether ethnicity influences the ethical evaluation of an auditor's willingness (or unwillingness) to engage in whistleblowing. Utilising the concepts of ethnic identity and construal of self, we asked Kenyan auditors to assess an ethical dilemma in which auditors and wrongdoers belong to the same or a different ethnic group. We found that ethnic identity has no significant effect on an auditor's ethical evaluation of remaining silent if both the wrongdoer and potential whistleblower are from the same ethnic group. However, there is a significant effect on the ethical evaluation of whistleblowing if the wrongdoer is from a different ethnic group. We found that auditors with an interdependent construal of self are more likely to perceive as ethical the decision to remain silent if the wrongdoer is a member of their own ethnic group, but this finding did not hold when the wrongdoer is from a different ethnic group.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531181,The influence of ethical judgements on acceptance and non-acceptance of        wearables and insideables: Fuzzy set qualitative comparative analysis,2021,11,,TECHNOLOGY IN SOCIETY,0160-791X,67,,,"de Andres-Sanchez, J and Arias-Oliva, M and Pelegrin-Borondo, J and Almahameed, AAM and de Andres-Sanchez, Jorge and Arias-Oliva, Mario and Pelegrin-Borondo, Jorge and Mohammad Almahameed, Ala' Ali",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","The rise of intelligent technological devices (ITDs)-wearables and insideables-provides the possibility of enhancing human capabilities and skills. This study contributes to the literature on the impact of ethical judgements on the acceptance of ITDs by using a multidimensional ethical scale (MES) proposed by Shwayer and Sennetti. The novelty of this study resides in using fuzzy set qualitative comparative analysis (fsQCA) instead of correlational methods to explain human behaviour (in this case, attitudes towards ITDs) from an ethical perspective. fsQCA evaluates the influence of ethical variables on the intention to use ITDs (and the non-use of these technologies). Positive ethical evaluations of technology do not always ensure ITD acceptance-unfavourable ethical perceptions may lead to its rejection. We find that for wearables: (1) positive perceptions from a utilitarian perspective are key in explaining their acceptance. Likewise, we identify configurations leading to acceptance where positive judgements on moral equity, egoism and contractualism are needed. Surprisingly, only the relativism dimension participates in configurations that cause acceptance when it is negated; (2) We found that a single unfavourable perception from a contractualism or relativism perspective causes non-use. Likewise, we found that coupling of negative judgements on moral equity, utilitarianism and egoism dimensions also produce resistance to wearables. For insideables, we notice that: (1) an MES has weak explanatory power for the intention to use ITDs but is effective in understanding resistance to use; (2) A negative perception of any ethical dimension leads to resistance towards insideables.","RAYYAN-INCLUSION: {""julius.fenn""=>""Included""} | RAYYAN-LABELS: incApplication",,
