"";"ID";"item";"questionItem";"value";"category_probe";"category_probe_again";"questionComprehension";"comp_probe";"comp_probe_again"
"18";"3";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"6";"It gets a good job done for the earth and society";"It aids in saving the earth and humanity";"What do you consider to be a <b>moral behavior</b> in a technological context?";"Helping or aiding ";"The help or aid to earth or humanity to help with a cause"
"19";"3";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"6";"It is used to help the earth and stop climate change";NA;"What do you consider to be a <b>moral obligation</b>?";"Using utilitys or tool to stop climate change or help to";NA
"20";"3";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"It is being used to help stop climate change ";"People are trying to help the earth and humanity";"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"Scientists or engineers who are creating utilitys and tools to help climate change";NA
"21";"3";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"1";"It definitely requires to make sacrifices as most climate change problems come from humans";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"We all are going to have to deal with some consequences when using it to help stop climate change";NA
"22";"4";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"Since it is the only known solution for now.";"Because it is meant to solve a problem.";"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"The government. ";"NGO"
"23";"4";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"7";"I feel confident about them.";"I have a positive feeling for the future.";"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"Top Business Men";"Government"
"24";"4";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"5";"I have a strong positive feeling about its objective.";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"Considers its impacts on humans.";"It is designed to make life easier."
"25";"4";"contractualist02";"is unfair...is fair";"6";"Because I have faith in it.";"I can trust it.";"When in your opinion is the described technology <b>fair</b>?";"When the benefits outways its issues.";"It is a solution to a problem."
"26";"4";"contractualist01";"is unjust...is just";"4";"I can't tell how just it is.";"Because until I see its impact physically, I cant put a measure to it.";"When in your opinion is the described technology <b>just</b>?";"How balanced it is.";"If it is serving its purpose."
"27";"4";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"4";"Depends on how well it serves humans.";"When its negative impact is not hidden from the public.";"What do you consider to be a <b>moral behavior</b> in a technological context?";"How friendly is the technology? ";"It considers the safety of its implementation to humans. "
"28";"4";"deontology04";"is not morally right...is morally right";"5";"Since it is to solve a particular problem.";"Because fixing the future for the next generation.";"When in your opinion is the described technology <b>morally right</b>?";"The measure of its positive impacts.";"How great the innovation is."
"29";"5";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"7";"This issue is up to all issue to solve emergency";"This issue is up to all issue to solve emergency";"What do you consider to be a <b>important moral rule</b> in a technological context?";"To save self live to save environment.";"To save self live to save environment."
"30";"5";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"7";"To save self life need to save environment.";"To save self life need to save environment.";"What does <b>autonomy of users</b> mean for you in a technological context?";"That can function and execute task without being controlled by a human.";NA
"31";"5";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"7";"In my point of view is like that.";"In my point of view is like that.";"What does <b>respect in interactions</b> mean for you in a technological context?";"How the system act on user and how the user act on system.";NA
"32";"5";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"7";"Because it is one of the most useful way to protect ";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"It means a positive feedback ";"It means a positive feedback "
"33";"5";"contractualist01";"is unjust...is just";"7";"To protect man made climate change that's process is one of the effective way so that. ";NA;"When in your opinion is the described technology <b>just</b>?";"When I understand and calculation the effect.";"When I understand and calculation the effect."
"34";"5";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"7";"Because you need to support what is useful for all.";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"We should support all because is will be helpful for us all.";NA
"35";"5";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"7";"Because it try to help to protect nature";"Because it try to help to protect nature";"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"A lot";"A lot"
"36";"6";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"6";"I think that the Stratospheric Aerosol Injection could cool down the earth at times.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"I don't know.";"I think it would be selfish to use too much."
"37";"6";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"6";"I don't have a moral rule when it comes to dropping things out of the sky.";NA;"What do you consider to be a <b>important moral rule</b> in a technological context?";"No clue";"No clue."
"38";"6";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"5";"I haven't heard of any unwritten contracts.";"I DON'T KNOW.";"What do you consider to be an <b>unwritten contract</b> in a technological context?";"No clue.";"No clue."
"39";"6";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"6";"It's fair.";"The Stratospheric Aerosol Injection technology doesn't violate my ideas of fairness at all.";"What do you consider to be a <b>idea of fairness</b> in a technological context?";"Not using so much electricity.";"Not using much electricity."
"40";"6";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"This person wants to help with climate change.";"This person wants to help with climate change.";"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"Jack Niles, Marty Cooper.";"Jack Niles, Marty Cooper."
"41";"6";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"6";"Implies that we should be more cautious with our planet.";NA;"What do you consider to be a <b>moral obligation</b>?";"What you think is right or wrong to do.";"What you think is right or wrong to do."
"42";"6";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"5";"I selected five because Stratospheric Aerosol Injection technology obliges a certain moral behavior.";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"I don't know.";"I don't know."
"43";"7";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"5";"Although the side effects are unknown it is still of supreme importance that the temperature is brought down. It is possible that the need for lower temperatures trumps the other possible side effects.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"It would be selfish for me to use if it only cooled the temperature during my lifetime but did nothing to improve things in the long term and/or if it was not being used in conjunction with other efforts to combat climate change.";NA
"44";"7";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"7";"It appears to have been developed by someone who wants to help combat climate change.";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"Scientists.";"Scientists who are working to combat climate change and global warming."
"45";"7";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"The technology appears to combat climate change so the develper likely has good intentions.";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"Scientists who are working to combat climate change.";NA
"46";"7";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"4";"Does not appear that the technology has been completely vetted but still appears to be needed.";NA;"What does <b>respect in interactions</b> mean for you in a technological context?";"regard to use";"I think that respect to interactions means in regard to use."
"47";"7";"deontology04";"is not morally right...is morally right";"6";"Because it seems to be fighting global warming which is essential to the survival of the human race.";NA;"When in your opinion is the described technology <b>morally right</b>?";"When it aids in the survival of the human race.";"If the product was developed with good intentions and is being used with good intentions and there is a dire need than I would find it morally right. "
"48";"7";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"4";"I think it provide a good utility for society, whether or not it is the greatest utility for society is yet to be determined.";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"To aid in the prevention of global warming and to participate in the protection of the human race.";NA
"49";"7";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"4";"Hard to say whether it protects or harms the autonomy of users as we do not know how the use became agreed to.";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"The ability for the users to make a decision as to whether or not they thiink the technology should be used.";NA
"50";"8";"deontology04";"is not morally right...is morally right";"6";"It is morally right when the technology serves its goal on a good note";NA;"When in your opinion is the described technology <b>morally right</b>?";"When the technology is been used on a good note to perform its purpose";NA
"51";"8";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"6";"When the technology causes no harm to nature";"Because the technology will be used to protect mother nature";"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"When the value of a product is being used to protect nature much more than causing harm.";NA
"52";"8";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"5";"This is when the user has believe in the technology and knows it will deliver";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"When the technology is being used on the purpose of its manufacturing";NA
"53";"8";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"6";"The technology will not e sell because it is being used to help the general world for e\everyone's benefit";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"When the technology is being use for some specific purpose form its original usage";NA
"54";"8";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"6";"The technology will make interaction with humans comfortable and serve right";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"I think to uphold and deliver on a good p[purpose by making fulfilment";NA
"55";"8";"contractualist02";"is unfair...is fair";"6";"The technology will be fair due to its usage to help solve the situation";NA;"When in your opinion is the described technology <b>fair</b>?";"It is fair when the purpose is achieved and a god note without any harm";NA
"56";"8";"hedonism07";"harms my health...promotes my health";"4";"It is not convinced the technology will promote health. Until it is done with it purpose";NA;"How can the described technology <b>promotes your health</b>?";"When the technology cause no harm to human health and environment";NA
"57";"9";"hedonism07";"harms my health...promotes my health";"3";"I didn't hear a ton of information about how acidity of the ocean impacts my health negatively. However, there were concerns about the controversial nature of releasing sulfur into the atmosphere. I wish there was more information, honestly.";NA;"How can the described technology <b>promotes your health</b>?";"In a ""big picture"" way, protecting our environment protects our health. This technology doesn't sound like it protects the immediate health of individuals alive now, but may protect the health of individuals in the future";NA
"58";"9";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"The intentions are to protect further harm of our planet. ";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"People who have the mind to cease global warming?";"All people"
"59";"9";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"4";"It sounds like the motivations might  be right, but there may be consequences/unforeseen barriers-- but intent might be good";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"All people? ";"All people benefit from improving the enviornment"
"60";"9";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"4";"The stratospheric Aerosol Injection requires centuries long commitment by peoples and their governments. ";NA;"What do you consider to be a <b>moral obligation</b>?";"A moral obligation is an imperative to act in the benefit of ourselves and others";NA
"61";"9";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"4";"Stratesepheric Aerosol injection is one possible solution to the larger issue, but what are the other options? There may be others that are more ethical or less ethical. ";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"If the harm outweighs the benefits";"There may be long term consequences that outweigh the current benefit"
"62";"9";"contractualist01";"is unjust...is just";"4";"There is not enough information about context of the use of this technology to make a determination if this is just.";NA;"When in your opinion is the described technology <b>just</b>?";"When there are multiple technologies that can be considered, when that technology has benefits that outweigh the consequences and there are alternatives for use";NA
"63";"9";"deontology04";"is not morally right...is morally right";"4";"I cannot judge if there it is morally right. There is not enough information. ";NA;"When in your opinion is the described technology <b>morally right</b>?";"When the use of the technology has benefits that outweigh the potential negative consequences. ";NA
"64";"11";"hedonism07";"harms my health...promotes my health";"1";"Our atmosphere was never meant to be sprayed with chemicals. No one knows the long term effects of this and therefore it detrimental to one’s health. ";NA;"How can the described technology <b>promotes your health</b>?";"There is absolutely no way this can promote my health. Humans can adapt to a naturally changing environment. Spraying chemicals into the atmosphere is not something which is natural.";NA
"65";"11";"contractualist02";"is unfair...is fair";"1";"By doing this you are gambling with unforeseen consequences. Men have very limited knowledge of what their actions can cause in the long run.";NA;"When in your opinion is the described technology <b>fair</b>?";"It is never fair unless everyone - not a majority - agree to it. ";NA
"66";"11";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"1";"This is unproven and just experimental. No one truly knows the repercussions this will have.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"This technology is never personally satisfying.";"This will never be personally satisfactory as there will always be questions of doubt in my mind as to the side effects this will have on my health "
"67";"11";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"4";"This does not harm or promote the autonomy of a user. It just uses them as experimental subjects. ";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"It means having my own free will, increasing my freedom from day to day, etc.";NA
"68";"11";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"4";"I really have no idea what this question is asking. ";NA;"What does <b>respect in interactions</b> mean for you in a technological context?";"Humans and technology interact in a moral way.";"Humans and technology interact in a decent and moral way."
"69";"11";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"1";"It is immoral  to be putting chemicals into the air that I breath without my consent ";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"There needs to be consent from both parties to be fair";NA
"70";"11";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"1";"Trying to change a natural phenomenon is wrong and immoral. ";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"I was thinking of people who value their health ";"I was thinking of people who do not want to be polluted with chemicals sprayed into the atmosphere "
"71";"12";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"4";"Im very uneasy about this. I'm not sure how i feel about releasing tons of particles into the air. This also brings into play the divide with in our country-there would without a doubt be a multitude of conspiracy theories that we are being ""poisoned"" or ""controlled"" by the particles. ";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"I dont have to make physical sacrifices but i think the overall feeling of what it happening and the consequences of it would have an effect. ";NA
"72";"12";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"5";"it's artificial but being done to protect the earth/nature and stop the climate change effects from getting worse. ";NA;"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"the ""value"" of nature is that we have to live on the planet and use its resources to survive. if the earth is deteriorating it will negatively affect our way of life. ";NA
"73";"12";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"4";"i'm in the middle. again, i dont know how i feel about pumping particles in the air. but, on the other hand, it would be to try to stop/slow down climate change, thus preserving the earth. ";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"to do no harm, or at least the positives have to greatly outweigh the negatives. ";NA
"74";"12";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"5";"we have to preserve the earth to keep living here and function as we do.";NA;"What do you consider to be a <b>moral obligation</b>?";"something you have to do, and not doing it would violate your core values.";NA
"75";"12";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"5";"i mean if it helps and if the positives outweigh the negatives i guess i am for it.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"when it does not negatively impact people and does benefit society. ";NA
"76";"12";"hedonism08";"harms my freedom...promotes my freedom";"5";"i guess it promotes it my helping to slow the effects of climate change, thus allowing me to live without excessive worry.";NA;"How can the described technology <b>promotes your freedom</b>?";"slowing climate change and letting life continue with less negative effects.";NA
"77";"12";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"6";"i'm not sure what these means. i think it's respectful as long as it's not harming the environment.";NA;"What does <b>respect in interactions</b> mean for you in a technological context?";"not harming the surrounding areas. ";"using technology for good, not for bad. in this case, the particles should not harm the surrounding areas where they are being released. that means no negative impacts on trees, humans, animals, etc. "
"78";"13";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"1";"It does not imply a moral obligation to act in a certain way because it is not a moral choice. It is a choice that has been proven by science that it works and it is a science that is being used. ";NA;"What do you consider to be a <b>moral obligation</b>?";"A moral obligation is a way that we feel obligated to act a certain way based upon our values and what we think is good to other people. The technology is not a moral obligation, it is common sense because it it science. ";NA
"79";"13";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"6";"It ensures that the environment is not harmed and it is helping the environment to lower its temperature. It makes sure that the earth is being treated right. ";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"It means that in the usage of technology other people are not harmed and that it is used in a way that science is leading the technology and it is going to do good in the world. ";NA
"80";"13";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"5";"It helps to promote autonomy of users because it helps them to see that some of their actions can be fixed with this technology. They can then choose to make more ecological decisions that can help the environment. ";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"The autonomy of users means that people are able to act on their own and have certain feelings due to their own moral obligations about a specific technology and have an opinion about it. ";NA
"81";"13";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"5";"It helps others to see that we need to help the environment and that helping the environment we can help to fix it. ";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"A moral behavior in a technological context is when a person acts a certain way using a certain technology to guide their morals or to do something that they feel strongly aligns with their morals. ";NA
"82";"13";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"6";"It does not violate my idea of fairness because it is helping the environment. It is doing whatever we can to stop climate change. ";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"The idea of fairness in a technological context means that the technology is being used to be fair to others and the environment. ";NA
"83";"13";"hedonism08";"harms my freedom...promotes my freedom";"5";"It promotes my freedom because it is helping to reduce climate change and can perhaps lead to less restrictions. ";NA;"How can the described technology <b>promotes your freedom</b>?";"The technology promotes my freedom because it helps me to see that technology is solving a problem and that I can have less restrictions due to that or I can be inspired to do even more to help the environment. ";NA
"84";"13";"hedonism07";"harms my health...promotes my health";"6";"It promotes my health because it is helping to reduce climate change which is harming my health by having an environment that is unstable. ";NA;"How can the described technology <b>promotes your health</b>?";"It promotes my health because it is helping to reduce climate change of the earth and this is beneficial to my health.";NA
"85";"14";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"4";"I don't see how it has anything to do with dignity in interactions. ";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"It would perhaps mean that the technology allows for those with disabilities or handicaps to interact fully in our society without being dependent on another. ";NA
"86";"14";"hedonism07";"harms my health...promotes my health";"4";"I don't know enough about it. ";"I don't know enough about it to make a conclusion like that. ";"How can the described technology <b>promotes your health</b>?";"It prevents rising temperatures and the health risks associated with that. ";NA
"87";"14";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"4";"I don't know enough to make a strong conclusion. ";"I do not know enough to make a strong conclusion. ";"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"People in countries most effected by climate change. ";NA
"88";"14";"contractualist01";"is unjust...is just";"4";"It could be applied anywhere. ";"It could be done anywhere";"When in your opinion is the described technology <b>just</b>?";"when used for the benefit of those most needy";"when it can be used to benefit the most needy"
"89";"14";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"3";"its a bit of playing god. ";"it seems a bit like playing god. ";"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"technology that respects the natural order";"Same. "
"90";"14";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"4";"i don't know enough about it all.";"i don't know enough about it all.";"Which type of <b>utilities</b> were you thinking of when you answered the question?";"value to human beings";"value to human beings"
"91";"14";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"4";"i don't know enough about it all.";"i don't know enough about it all.";"What do you consider to be an <b>unwritten contract</b> in a technological context?";"to do no harm";"to do no harm"
"92";"15";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"4";"There are too many unknown variables good or bad in the scenario presented to accurately ascertain the side effects.  Is there a ""law of unintended consequences"" result or is there not.  Have ethics already been thrown out the window before the project commenced because governments chose the cheap option (as it was mentioned it was a low cost solution in said scenario) for something that is at least touted as paramount importance?  Is this yet another case of society simply ""going through the motions"" .  Also, a definition of dignity in interactions should be spelled out, as that aspect could be relative across different individuals or cultures.";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"To be honest, I am not quite sure, as I view that as relative, especially regarding technology (ie - robots and artificial intelligence are already issues where the hubris and xenophobia of average people in western culture has generated much dissonance and differing views, some ethics related (sex robots for example);  I personally embrace these technologies and the innovations they yield to society supersede ethical concerns (which should however be thought about nonetheless).  I will guess that in the study it means that no one is put at a disadvantage or mistreated/exploited because of others actions.  Alternatively, it could infer is the solution (spraying sulfur in this case) something we should do, or an abomination of nature.";NA
"93";"15";"deontology04";"is not morally right...is morally right";"3";"Again - I will preced my answer saying that ""moral"" is relative as somewhere someone makes the call on what is moral and it may not necessarily match what an individual or specific culture or society views as moral.  However, my decision was made simply due to it tinkering with the natural order of things (nature).";NA;"When in your opinion is the described technology <b>morally right</b>?";"I personally do not feel the technology as described can be morally right, as it is essentially man violating nature at it's basic concept. This is seperate from my opinion as to whether it should or should not be used, as that is an entirely different issue, similar to something like nuclear weapons or particle colliders, both technological innovations that *might* not be morally right in some peoples minds, yet have their place.";NA
"94";"15";"hedonism07";"harms my health...promotes my health";"4";"To state what should be obvious - This cannot be ascertained without extensive study.  As in the scenario presented, it is a chemical based alteration of a natural heating function of the planet.  At it's simplest level you are 1.) Interfering with a natural cycle of the planet and 2.) Altering the levels of an element on the planet and 3.) Doing so with for what can be considered zero due dilligence as to the long term effects it would have on the planet or individuals populating it.  The preceding variables are all compounded by them being done in an enviroment that has already been altered hapzardly by past folly.  I'm no supersonic scientist, but any think tank would have a field day with those above 4 variables alone.  The Law of unintended consequence is cynically beautiful.  Thus at time of implementation, and for no foreseeable future can health detriments or benefits be discerned.";NA;"How can the described technology <b>promotes your health</b>?";"If it guarantees a longer, safer, healthier existence for me without introducing any detrimental factors.  However, I would say the presented technology (like many) falls into the category of everything has a price.";NA
